English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
Digital Crown,Digital Crown,In-app,achievement_control_name_crown,,needs_review,
Game Controller,ゲームコントローラー,In-app,achievement_control_name_gamecontroller,,needs_review,
Keyboard,キーボード,In-app,achievement_control_name_keyboard,,needs_review,
Swipe,スワイプ,In-app,achievement_control_name_swipe,,needs_review,
Tap,タップ,In-app,achievement_control_name_tap,,needs_review,
VoiceOver,VoiceOver,In-app,achievement_control_name_voiceover,,needs_review,
+%lld more achievements,+%lld件の実績,In-app,achievement_modal_more %lld,,needs_review,
Other achievements,その他の実績,In-app,achievement_modal_other_achievements,,needs_review,
Congratulations! You unlocked:,おめでとう！アンロック:,In-app,achievement_modal_subtitle,,needs_review,
Achievement Completed!,実績達成！,In-app,achievement_modal_title,,needs_review,
%@ Controls,%@操作,In-app,achievement_title_control %@,,needs_review,
Digital Crown Controls,Digital Crown操作,In-app,achievement_title_control_crown,,needs_review,
Game Controller Controls,ゲームコントローラー操作,In-app,achievement_title_control_gamecontroller,,needs_review,
Keyboard Controls,キーボード操作,In-app,achievement_title_control_keyboard,,needs_review,
Swipe Controls,スワイプ操作,In-app,achievement_title_control_swipe,,needs_review,
Tap Controls,タップ操作,In-app,achievement_title_control_tap,,needs_review,
VoiceOver Controls,VoiceOver操作,In-app,achievement_title_control_voiceover,,needs_review,
GAAD Assistive Week,GAAD Assistive Week,In-app,achievement_title_event_gaad,,needs_review,
Streak %lld,ストリーク %lld,In-app,achievement_title_run_overtakes %lld,,needs_review,
Overlander %@,Overlander %@,In-app,achievement_title_total_overtakes %@,,needs_review,
Overlander %lld,Overlander %lld,In-app,achievement_title_total_overtakes %lld,,needs_review,
Coming soon,近日公開,In-app,coming_soon,,needs_review,
A,A,In-app,controller_button_a,,needs_review,
B,B,In-app,controller_button_b,,needs_review,
D-pad Left,十字キー左,In-app,controller_button_dpadLeft,,needs_review,
D-pad Right,十字キー右,In-app,controller_button_dpadRight,,needs_review,
Left Shoulder,Lボタン,In-app,controller_button_leftShoulder,,needs_review,
Left Trigger,L2,In-app,controller_button_leftTrigger,,needs_review,
Menu,メニュー,In-app,controller_button_menu,,needs_review,
None,なし,In-app,controller_button_none,,needs_review,
Right Shoulder,Rボタン,In-app,controller_button_rightShoulder,,needs_review,
Right Trigger,R2,In-app,controller_button_rightTrigger,,needs_review,
X,X,In-app,controller_button_x,,needs_review,
Y,Y,In-app,controller_button_y,,needs_review,
Crash,クラッシュ,In-app,crash_sprite,,needs_review,
False,False,In-app,debug_boolean_false,,needs_review,
True,True,In-app,debug_boolean_true,,needs_review,
Enable experimental Polygon theme,実験的なPolygonテーマを有効にする,In-app,debug_enable_experimental_sixty_four_bit_theme,,needs_review,
Enable experimental Disc theme,実験的なDiscテーマを有効にする,In-app,debug_enable_experimental_thirty_two_bit_theme,,needs_review,
No forced achievement,強制実績なし,In-app,debug_force_achievement_none,,needs_review,
Forces the selected achievement to appear in Game Over UI without reporting it.,選択した実績を報告せずにゲームオーバー画面に表示します。,In-app,debug_force_achievement_picker_footer,,needs_review,
Force achievement unlock,実績解除を強制,In-app,debug_force_achievement_picker_title,,needs_review,
Active Assistive Technologies,使用中の支援技術,In-app,debug_gaad_active_assistive,,needs_review,
None,なし,In-app,debug_gaad_assistive_none,,needs_review,
Switch Control,スイッチコントロール,In-app,debug_gaad_assistive_switch_control,,needs_review,
VoiceOver,VoiceOver,In-app,debug_gaad_assistive_voiceover,,needs_review,
Current Time,現在時刻,In-app,debug_gaad_current_time,,needs_review,
Inside GAAD Week,GAADウィーク内,In-app,debug_gaad_in_window,,needs_review,
GAAD Achievement Marked Achieved,GAAD実績を達成済みに設定,In-app,debug_gaad_local_achievement,,needs_review,
GAAD Achievement QA,GAAD実績 QA,In-app,debug_gaad_panel_title,,needs_review,
Qualification Mode,適格モード,In-app,debug_gaad_qualification_mode,,needs_review,
VoiceOver only (watchOS v1),VoiceOverのみ（watchOS v1）,In-app,debug_gaad_qualification_mode_voiceover_only,,needs_review,
VoiceOver + Switch Control (v1),VoiceOver + スイッチコントロール（v1）,In-app,debug_gaad_qualification_mode_voiceover_switch,,needs_review,
Would Qualify If Run Ends Now,今終了すれば適格,In-app,debug_gaad_qualifies_now,,needs_review,
GAAD Completion Signal Latched,GAAD完了シグナル保持,In-app,debug_gaad_signal_latched,,needs_review,
GAAD Week Window,GAADウィーク期間,In-app,debug_gaad_window,,needs_review,
Unavailable,利用不可,In-app,debug_gaad_window_unavailable,,needs_review,
Debug,デバッグ,In-app,debug_section_title,,needs_review,
Show SpriteKit FPS and node count,SpriteKitのFPSとノード数を表示,In-app,debug_show_spritekit_frame_stats,,needs_review,
Simulate Unlimited Plays,無制限プレイをシミュレート,In-app,debug_simulate_premium,,needs_review,
Default uses production behavior. Unlimited Plays forces full access. Freemium simulates that Unlimited Plays has not been purchased.,デフォルトは本番動作。無制限プレイはフルアクセス、フリーミアムは未購入状態をシミュレートします。,In-app,debug_simulate_premium_footer,,needs_review,
Default,デフォルト,In-app,debug_simulation_mode_default,,needs_review,
Freemium,フリーミアム,In-app,debug_simulation_mode_freemium,,needs_review,
Unlimited Plays,無制限プレイ,In-app,debug_simulation_mode_unlimited,,needs_review,
FPS %@ · Nodes %@,FPS %@ · ノード %@,In-app,debug_spritekit_stats %@ %@,,needs_review,
Done,完了,In-app,done,,needs_review,
Unable to load products. Please check your internet connection.,商品を読み込めません。インターネット接続を確認してください。,In-app,error_product_not_available,,needs_review,
Retry,再試行,In-app,error_retry,,needs_review,
"Unlimited until %@, celebrating %@ 🏎",%@まで無制限、%@を祝って 🏎,In-app,event_play_unlimited_subtitle %@ %@,,needs_review,
Unlimited Plays,無制限プレイ,In-app,event_play_unlimited_title,,needs_review,
Finish,終了,In-app,finish,,needs_review,
Retro (Press Start 2P),レトロ（Press Start 2P）,In-app,font_style_custom,,needs_review,
System,システム,In-app,font_style_system,,needs_review,
System monospaced,等幅システム,In-app,font_style_system_monospaced,,needs_review,
"Upcoming friend score: %@, %lld",次のフレンドスコア: %@、%lld,In-app,friend_milestone_avatar %@ %lld,,needs_review,
Overtook %@,%@を追い抜き,In-app,friend_overtake_announcement %@,,needs_review,
Overtook %lld friends,%lld人のフレンドを追い抜き,In-app,friend_overtake_announcement_multiple %lld,,needs_review,
RetroRapid!,RetroRapid!,In-app,gameName,,needs_review,
Game Over,ゲームオーバー,In-app,gameOver,,needs_review,
Finish Game,ゲームを終了,In-app,game_exit_confirmation_finish,,needs_review,
Keep Playing,プレイを続ける,In-app,game_exit_confirmation_keep_playing,,needs_review,
Do you want to finish this game and return to the menu?,このゲームを終了してメニューに戻りますか？,In-app,game_exit_confirmation_message,,needs_review,
Finish this game?,このゲームを終了しますか？,In-app,game_exit_confirmation_title,,needs_review,
Best: %lld,ベスト: %lld,In-app,game_over_best %lld,,needs_review,
Next round could be your best yet.,次のラウンドがベストになるかも。,In-app,game_over_encouragement_subtitle,,needs_review,
Well played!,ナイスプレイ！,In-app,game_over_encouragement_title,,needs_review,
%@: %lld,%@: %lld,In-app,game_over_friend_score %@ %lld,,needs_review,
Awesome drive! You beat your best score.,すごい走り！自己ベストを更新しました。,In-app,game_over_new_record_subtitle,,needs_review,
New Record!,新記録！,In-app,game_over_new_record_title,,needs_review,
New record: %lld,新記録: %lld,In-app,game_over_new_record_value %lld,,needs_review,
Next friend ahead,次に追いかけるフレンド,In-app,game_over_next_friend_ahead_title,,needs_review,
+%lld more,+%lld人,In-app,game_over_overtaken_friends_more %lld,,needs_review,
Friends overtaken this run,このランで追い抜いたフレンド,In-app,game_over_overtaken_friends_title,,needs_review,
Previous best: %lld,前回のベスト: %lld,In-app,game_over_previous_best %lld,,needs_review,
Speed: %@,速度: %@,In-app,game_over_speed %@,,needs_review,
Your best: %lld,自己ベスト: %lld,In-app,game_over_your_best %lld,,needs_review,
"%@ (%lld, %lld)","%@ (%lld, %lld)",In-app,"grid_cell_label %@ (%lld, %lld)",,needs_review,
Leaderboard,リーダーボード,In-app,leaderboard,,needs_review,
 x%lld, x%lld,In-app,lives_count,,needs_review,
Menu,メニュー,In-app,menu_button,,needs_review,
Enjoying the game? You can help RetroRapid!,楽しんでる？RetroRapid!を応援してね！,In-app,menu_engagement_prompt,,needs_review,
Enjoying the game?,楽しんでる？,In-app,menu_engagement_prompt_rate_only,,needs_review,
Play with Friends,フレンドとプレイ,In-app,menu_play_with_friends,,needs_review,
Friend races are free.,フレンドレースは無料。,In-app,menu_play_with_friends_free_footer,,needs_review,
SharePlay matches don’t use daily plays.,SharePlayの対戦はデイリープレイを消費しません。,In-app,menu_play_with_friends_free_hint,,needs_review,
Rate it,評価する,In-app,menu_rate_game,,needs_review,
Support the game,ゲームを支援,In-app,menu_support_game,,needs_review,
Move left,左へ,In-app,move_left,,needs_review,
Double-tap to move car left,ダブルタップで左へ移動,In-app,move_left_hint,,needs_review,
Move right,右へ,In-app,move_right,,needs_review,
Double-tap to move car right,ダブルタップで右へ移動,In-app,move_right_hint,,needs_review,
New high score! %lld overtakes,ハイスコア更新！%lld回追い抜き,In-app,new_high_score_message %lld,,needs_review,
No car,車なし,In-app,no_car,,needs_review,
Ok,OK,In-app,ok,,needs_review,
Pause,一時停止,In-app,pause,,needs_review,
"Pixel-art portrait of a smiling, bearded man wearing a flat cap and navy sweater, set against a retro racing track with grandstands, starting lights, and tiny green cars in a colorful 16-bit game style.",レトロなレースコースを背景に、ニット帽とセーターを着た笑顔の男性のピクセルアート肖像。,In-app,paywall_avatar_accessibility_label,,needs_review,
Hi! I'm Dani. Consider unlocking Unlimited Plays as a way to get me a coffee. Being caffeinated helps me keep building new features that I hope you'll love.,こんにちは、Daniです。無制限プレイの解除は、コーヒー1杯分の応援として考えてください。カフェインで新機能を作り続けます！,In-app,paywall_caption_coffee,,needs_review,
Close,閉じる,In-app,paywall_close,,needs_review,
One-time purchase. No subscription. Unlocks unlimited plays forever.,買い切り。サブスクなし。無制限プレイが永久に解放されます。,In-app,paywall_footer_one_time,,needs_review,
"10% of proceeds go to **AMMEC**, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.",収益の10%は**AMMEC**に寄付されます。AMMECは、身体障害のある方の自立と社会参加を支援し、家族とコミュニティを支える団体です。,In-app,paywall_giving_back_body,,needs_review,
Giving Back,還元,In-app,paywall_giving_back_title,,needs_review,
Go Unlimited,無制限にする,In-app,paywall_go_premium,,needs_review,
Learn More,詳細,In-app,paywall_learn_more,,needs_review,
"Pit stop! You've used up all your plays for today. Come back tomorrow for more free plays. Or go unlimited: One coffee for me, unlimited plays for you!",ピットストップ！今日のプレイ回数は使い切りました。明日また無料プレイがもらえます。または無制限プレイ：コーヒー1杯分で、あなたは無制限、僕はカフェイン！,In-app,paywall_limit_notice,,needs_review,
Friend races are free with SharePlay!,SharePlayのフレンドレースは無料！,In-app,paywall_shareplay_free_notice,,needs_review,
Your daily limit resets at midnight.,デイリー上限は深夜0時にリセットされます。,In-app,paywall_stay_free_reset_body,,needs_review,
No worries!,大丈夫！,In-app,paywall_stay_free_reset_title,,needs_review,
Want to Stay Free?,無料のまま？,In-app,paywall_stay_free_title,,needs_review,
Keep playing as much as you want on your Apple Watch.,Apple Watchでは好きなだけプレイできます。,In-app,paywall_stay_free_watch_body,,needs_review,
Apple Watch,Apple Watch,In-app,paywall_stay_free_watch_title,,needs_review,
Get Unlimited Plays,無制限プレイを入手,In-app,paywall_title,,needs_review,
Unlimited plays forever. Choose from available visual themes. Support development.,永久無制限プレイ。ビジュアルテーマを選択。開発を支援。,In-app,paywall_unlimited_and_themes,,needs_review,
Play,プレイ,In-app,play,,needs_review,
Remaining: %lld of %lld,残り: %lld / %lld,In-app,play_limit_remaining %lld %lld,,needs_review,
Resets in %lld hours,%lld時間後にリセット,In-app,play_limit_resets_in_hours %lld,,needs_review,
Resets in 1 hour,1時間後にリセット,In-app,play_limit_resets_in_one_hour,,needs_review,
Resets tomorrow at 00:00,明日0:00にリセット,In-app,play_limit_resets_tomorrow,,needs_review,
%lld free plays every day without Unlimited Plays.,無制限プレイなしでは毎日%lld回無料プレイ。,In-app,play_limit_section_footer %lld,,needs_review,
%lld free plays every day without Unlimited Plays. Welcome bonus: %lld free plays on your first day.,無制限プレイなしでは毎日%lld回無料。初日ボーナス: %lld回。,In-app,play_limit_section_footer_first_day %lld %lld,,needs_review,
Thank you for your support!,サポートありがとう！,In-app,play_limit_thank_you,,needs_review,
Play Limit,プレイ上限,In-app,play_limit_title,,needs_review,
♾️ Unlimited,♾️ 無制限,In-app,play_limit_unlimited,,needs_review,
Player car,プレイヤーの車,In-app,player_car,,needs_review,
Unlimited Plays,無制限プレイ,In-app,product_unlimited_plays,,needs_review,
Purchase Failed,購入に失敗,In-app,purchase_error_title,,needs_review,
Failed to restore purchases: %@,購入の復元に失敗: %@,In-app,purchase_restored_failed %@,,needs_review,
No purchases found to restore.,復元する購入が見つかりません。,In-app,purchase_restored_none,,needs_review,
Purchase restored successfully!,購入を復元しました！,In-app,purchase_restored_success,,needs_review,
You now have unlimited plays!,無制限プレイが使えるようになりました！,In-app,purchase_success_message,,needs_review,
Purchase Successful,購入成功,In-app,purchase_success_title,,needs_review,
Redeem Code,コードを使う,In-app,redeem_code,,needs_review,
Play again,もう一度,In-app,restart,,needs_review,
Restore Purchases,購入を復元,In-app,restore_purchases,,needs_review,
Resume,再開,In-app,resume,,needs_review,
Rival car,ライバルの車,In-app,rival_car,,needs_review,
Score,スコア,In-app,score,,needs_review,
Score: %lld,スコア: %lld,In-app,score %lld,,needs_review,
Settings,設定,In-app,settings,,needs_review,
Accessibility,アクセシビリティ,In-app,settings_accessibility,,needs_review,
Audio cue tutorial,音声キュー チュートリアル,In-app,settings_audio_cue_tutorial,,needs_review,
Audio feedback mode,音声フィードバック,In-app,settings_audio_feedback_mode,,needs_review,
Audio cues (arpeggio),音声キュー（アルペジオ）,In-app,settings_audio_feedback_mode_cue_arpeggio,,needs_review,
Audio cues (chord),音声キュー（コード）,In-app,settings_audio_feedback_mode_cue_chord,,needs_review,
Audio cues (lane pulses),音声キュー（レーンパルス）,In-app,settings_audio_feedback_mode_cue_lane_pulses,,needs_review,
Retro audio,レトロ音声,In-app,settings_audio_feedback_mode_retro,,needs_review,
Using Audio cues (arpeggio) (default when VoiceOver is on),VoiceOverオン時のデフォルト: 音声キュー（アルペジオ）,In-app,settings_audio_feedback_mode_voiceover_default,,needs_review,
Big Cars,大きい車,In-app,settings_big_cars,,needs_review,
Settings coming soon,設定は近日公開,In-app,settings_coming_soon,,needs_review,
Controller,コントローラー,In-app,settings_controller,,needs_review,
Remapped buttons replace the default D-pad/Menu bindings for those actions. The left stick remains a left/right backup. Arrow keys remain active on Mac.,再割り当てしたボタンは、その操作のデフォルトの十字キー/メニューを置き換えます。左スティックは左右のバックアップとして残ります。Macでは矢印キーも有効です。,In-app,settings_controller_footnote,,needs_review,
"Standard D-pad/left stick and Menu/Start controls always work. Mapped A, X, Y, shoulder, and trigger buttons add alternate controls. B/Back opens the finish confirmation.",標準の方向パッド／左スティックとメニュー／スタートは常に使えます。割り当てたA、X、Y、ショルダー、トリガーボタンは代替操作になります。B／戻るで終了確認を開きます。,In-app,settings_controller_footnote_tvos,,needs_review,
Move Left Button,左移動ボタン,In-app,settings_controller_move_left,,needs_review,
Move Right Button,右移動ボタン,In-app,settings_controller_move_right,,needs_review,
Pause/Resume Button,一時停止/再開ボタン,In-app,settings_controller_pause_resume,,needs_review,
Controls,操作,In-app,settings_controls,,needs_review,
How to play the game,遊び方,In-app,settings_controls_how_to_play,,needs_review,
"• Swipe left or right to move.
• Tap the left or right half of the screen.
• Use the left and right arrow keys when a keyboard is connected.
• With a controller, the D-pad and left stick move by default; you can remap buttons in Controller settings.","• 左右にスワイプして移動。
• 画面の左半分/右半分をタップ。
• キーボード接続時は左右矢印キー。
• コントローラーでは十字キーと左スティックがデフォルト。コントローラー設定でボタンを再割り当てできます。",In-app,settings_controls_ios,,needs_review,
"• Use the left and right arrow keys on the keyboard to move.
• Click the left or right half of the window with the trackpad or mouse.
• Press the space bar to pause or resume.
• With a controller, the D-pad and left stick move by default; you can remap buttons in Controller settings.","• キーボードの左右矢印キーで移動。
• トラックパッド/マウスでウィンドウの左半/右半をクリック。
• スペースキーで一時停止/再開。
• コントローラーでは十字キーと左スティックがデフォルト。コントローラー設定でボタンを再割り当てできます。",In-app,settings_controls_macos,,needs_review,
"• Swipe left or right, or click the left or right edge of the Siri Remote, to move.
• Press Play/Pause to pause or resume.
• Press Menu/Back to choose whether to finish the game.
• With a controller, use the D-pad or left stick to move, Menu/Start to pause, and B/Back to finish. Mapped buttons add alternate controls.","• Siri Remoteを左右にスワイプするか、左端または右端をクリックして移動します。
• 再生／一時停止ボタンで一時停止または再開します。
• メニュー／戻るボタンでゲームを終了するか選びます。
• コントローラーでは、方向パッドまたは左スティックで移動し、メニュー／スタートで一時停止、B／戻るで終了します。割り当てたボタンは代替操作として使えます。",In-app,settings_controls_tvos,,needs_review,
"• Look at a lane and pinch to move, or use the Left and Right buttons.
• Use the left and right arrow keys when a keyboard is connected.
• Press Space or use Pause to pause or resume.
• With a controller, use the D-pad or left stick to move and Menu/Start to pause.","• レーンを見てピンチして移動するか、左／右ボタンを使います。
• キーボード接続時は左右の矢印キーを使います。
• スペースキーまたは一時停止ボタンで一時停止／再開します。
• コントローラーでは、方向パッドまたは左スティックで移動し、メニュー／スタートで一時停止します。",In-app,settings_controls_visionos,,needs_review,
"• Rotate the Digital Crown up to move right and down to move left.
• Tap the left side of the screen to move left and the right side to move right.
• Swipe left to move left and right to move right.","• Digital Crownを上に回して右、下に回して左。
• 画面左側をタップで左、右側をタップで右。
• 左スワイプで左、右スワイプで右。",In-app,settings_controls_watchos,,needs_review,
Direct Touch,ダイレクトタッチ,In-app,settings_direct_touch,,needs_review,
Font,フォント,In-app,settings_font,,needs_review,
Haptic feedback,触覚フィードバック,In-app,settings_haptic_feedback,,needs_review,
In-game announcements,ゲーム内アナウンス,In-app,settings_in_game_announcements,,needs_review,
Lane change cue,レーン変更キュー,In-app,settings_lane_move_cue_style,,needs_review,
Haptics,触覚,In-app,settings_lane_move_cue_style_haptics,,needs_review,
Lane + success,レーン + 成功,In-app,settings_lane_move_cue_style_lane_and_safety,,needs_review,
Lane confirmation,レーン確認,In-app,settings_lane_move_cue_style_lane_confirmation,,needs_review,
Success,成功,In-app,settings_lane_move_cue_style_safety_only,,needs_review,
Scores are submitted to Game Center.,スコアはGame Centerに送信されます。,In-app,settings_leaderboard_watch_info,,needs_review,
Sign in to Game Center on your iPhone to submit scores from the watch.,Apple Watchからスコアを送信するには、iPhoneでGame Centerにサインインしてください。,In-app,settings_leaderboard_watch_sign_in_required,,needs_review,
Get Unlimited Plays,無制限プレイを入手,In-app,settings_learn_premium,,needs_review,
%lld%%,%lld%%,In-app,settings_percentage_value,,needs_review,
Unlimited Plays,無制限プレイ,In-app,settings_premium_active,,needs_review,
Endless play and choose your favorite theme.,エンドレスプレイとお気に入りのテーマを選択。,In-app,settings_premium_active_subtitle,,needs_review,
Purchases,購入,In-app,settings_purchases_title,,needs_review,
"If you've purchased Unlimited Plays on another device, tap Restore Purchases.",別のデバイスで無制限プレイを購入した場合は、「購入を復元」をタップしてください。,In-app,settings_restore_footer,,needs_review,
Road Style,道路スタイル,In-app,settings_road_visual_style,,needs_review,
Detailed Road,詳細道路,In-app,settings_road_visual_style_detailed,,needs_review,
Simplified Grid,シンプルグリッド,In-app,settings_road_visual_style_simplified,,needs_review,
Sound,サウンド,In-app,settings_sound,,needs_review,
Sound effects volume,効果音の音量,In-app,settings_sound_effects_volume,,needs_review,
Speed,スピード,In-app,settings_speed,,needs_review,
Using Cruise (default when VoiceOver is on),VoiceOverオン時のデフォルト: クルーズ,In-app,settings_speed_voiceover_default,,needs_review,
Speed increase warning feedback,速度上昇警告,In-app,settings_speed_warning_feedback,,needs_review,
VoiceOver announcement,VoiceOverアナウンス,In-app,settings_speed_warning_feedback_announcement,,needs_review,
None,なし,In-app,settings_speed_warning_feedback_none,,needs_review,
Preview warning,プレビュー警告,In-app,settings_speed_warning_feedback_preview_warning,,needs_review,
Haptic,触覚,In-app,settings_speed_warning_feedback_warning_haptic,,needs_review,
Sound,サウンド,In-app,settings_speed_warning_feedback_warning_sound,,needs_review,
Theme,テーマ,In-app,settings_theme,,needs_review,
Style Gallery,スタイルギャラリー,In-app,settings_theme_gallery_preview,,needs_review,
"Theme preview for %@. Shows both cars, both helmets, the explosion, and the road colors.",%@テーマのプレビュー。2台の車、2つのヘルメット、爆発、道路の色を表示します。,In-app,settings_theme_gallery_preview_accessibility %@,,needs_review,
"%@ theme preview. Home-console sparkle: two bold pixel cars, two punchy helmets, a hot orange crash, and a gray arcade road with bright yellow lines.",%@テーマのプレビュー。家庭用コンソールのきらめき。太いピクセルカー2台、パンチのあるヘルメット2つ、熱いオレンジのクラッシュ、鮮やかな黄色ラインのグレーのアーケード道路。,In-app,settings_theme_gallery_preview_accessibility_eight_bit,,needs_review,
"LCD theme preview. Calculator-arcade vibes: two crisp racers, two clean helmets, a bright crash, and a pale road palette built for sunny high-score runs.",LCDテーマのプレビュー。電卓アーケードのムード。くっきりしたレーサー2台、すっきりしたヘルメット2つ、明るいクラッシュ、太陽の下でハイスコアを狙う淡い道路パレット。,In-app,settings_theme_gallery_preview_accessibility_lcd,,needs_review,
"Pocket theme preview. Tiny handheld vibes: two moss-green racers, two chunky helmets, a crunchy crash, and a muted road palette from an old pocket screen.",Pocketテーマのプレビュー。小さな携帯ゲーム機のムード。苔色のレーサー2台、ずんぐりしたヘルメット2つ、ザクッとしたクラッシュ、昔のポケット画面みたいな渋い道路パレット。,In-app,settings_theme_gallery_preview_accessibility_pocket,,needs_review,
"%@ theme preview. Early arcade drama: two richer pixel cars, two glossy helmets, a fiery crash, and a fast gray road cutting through green grass.",%@テーマのプレビュー。初期アーケードのドラマ。濃いピクセルカー2台、つやのあるヘルメット2つ、燃えるクラッシュ、緑の芝生を切り裂く速いグレーの道路。,In-app,settings_theme_gallery_preview_accessibility_sixteen_bit,,needs_review,
"%@ theme preview. Low-poly console racing: two faceted racers, two sculpted helmets, an explosive crash, and a neon aqua circuit over midnight asphalt.",%@テーマのプレビュー。ローポリのコンソールレース。多面体のレーサー2台、造形されたヘルメット2つ、爆発的なクラッシュ、真夜中のアスファルトを走るネオンアクアのサーキット。,In-app,settings_theme_gallery_preview_accessibility_sixty_four_bit,,needs_review,
"%@ theme preview. Late-’90s console energy: two detailed racers, two glossy helmets, a bright crash, and an electric aqua circuit over dark asphalt.",%@テーマのプレビュー。90年代後半のコンソールの熱気。精細なレーサー2台、光沢のあるヘルメット2つ、鮮やかなクラッシュ、暗いアスファルトに走る電光アクアのサーキット。,In-app,settings_theme_gallery_preview_accessibility_thirty_two_bit,,needs_review,
Style Gallery,スタイルギャラリー,In-app,settings_theme_gallery_title,,needs_review,
